#{"t_start": 1764783648.738105, "env_id": "Gym-Gridworlds/FourRooms-Original-13x13-v0"}
r,l,t
-0.130178,50,9.272411
0.982249,3,9.273453
-0.573964,25,9.281112
0.940828,5,9.283937
1.0,1,9.284089
0.786982,9,9.286432
-1.994083,56,9.302661
0.207101,17,9.308226
0.60355,35,9.318985
-0.236686,22,9.325497
0.390533,19,9.330105
0.568047,14,9.335368
0.485207,15,9.339948
0.698225,11,9.343249
0.964497,4,9.344636
0.674556,11,9.351805
0.733728,10,9.355236
0.674556,11,9.358491
0.065089,21,9.367579
0.585799,13,9.372212
0.532544,14,9.376466
-3.60355,65,9.398402
0.692308,12,9.401728
-3.236686,115,9.438221
0.301775,16,9.443549
-0.366864,23,9.450311
0.733728,10,9.453568
-0.023669,23,9.460544
0.556213,15,9.464891
0.674556,11,9.468324
0.745562,10,9.470873
0.467456,16,9.476735
0.195266,17,9.482334
1.0,1,9.482537
0.739645,11,9.486284
0.609467,12,9.490616
0.094675,18,9.496193
0.094675,19,9.502111
-0.04142,20,9.507996
0.591716,14,9.512445
-2.899408,59,9.530067
0.804734,13,9.533454
0.964497,4,9.534661
0.08284,43,9.549613
0.544379,14,9.554849
0.940828,5,9.556173
-0.455621,24,9.563755
-0.088757,22,9.570561
-2.502959,54,9.589921
-2.236686,57,9.607371
0.911243,6,9.610407
0.585799,13,9.615239
0.869822,8,9.617614
0.87574,7,9.620006
0.698225,11,9.623539
0.532544,14,9.629997
0.43787,24,9.636796
-6.443787,107,9.67455
-0.56213,25,9.682081
0.538462,13,9.686458
0.887574,7,9.688787
0.508876,15,9.694376
0.621302,12,9.698423
-0.011834,19,9.70533
0.378698,15,9.710426
-0.183432,21,9.716988
0.615385,14,9.721794
0.609467,12,9.726556
0.585799,13,9.730387
-0.284024,22,9.738137
0.704142,12,9.741823
0.573964,13,9.746421
0.597633,13,9.750096
0.911243,6,9.752532
0.923077,6,9.753957
-0.378698,24,9.762198
-0.12426,20,9.768619
0.609467,12,9.772599
0.733728,10,9.776034
0.461538,14,9.7804
-0.236686,23,9.787714
0.83432,9,9.790449
0.686391,11,9.794139
0.911243,6,9.796472
0.544379,14,9.801359
0.911243,6,9.803147
-0.284024,22,9.810379
0.911243,6,9.812665
